$TagName,V4::DPU1005.HW.AI010201.PV,V4::DPU1005.HW.AI020105.PV,V4::DPU1005.HW.AI060108.PV,V4::DPU1005.HW.AI020104.PV,V4::DPU1005.HW.AI020202.PV,V4::DPU1005.HW.RT060203.PV,V4::DPU1005.HW.AI050103.PV,V4::DPU1014.SH0321.AALM21.PV,V4::DPU1005.HW.AI010205.PV
$Time,Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality),Data(Quality)
@2026-03-17 20:00:00,-0.031481(GOOD),0.057407(GOOD),40.113426(GOOD),1.574074(GOOD),110.134254(GOOD),27.940775(GOOD),13.998704(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:01:00,-0.029581(GOOD),0.040707(GOOD),40.150524(GOOD),1.564774(GOOD),110.212837(GOOD),27.940775(GOOD),13.998704(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:02:00,-0.025881(GOOD),0.027807(GOOD),40.148121(GOOD),1.520774(GOOD),110.254440(GOOD),27.940775(GOOD),13.998705(GOOD),0.000000(GOOD),-0.020789(GOOD)
@2026-03-17 20:03:00,-0.031481(GOOD),0.033307(GOOD),40.150524(GOOD),1.569375(GOOD),109.962845(GOOD),27.940775(GOOD),13.997705(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:04:00,-0.031481(GOOD),0.033307(GOOD),40.083324(GOOD),1.571774(GOOD),110.023041(GOOD),27.940775(GOOD),13.998705(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:05:00,-0.031481(GOOD),0.022207(GOOD),40.134338(GOOD),1.546275(GOOD),110.129433(GOOD),27.940775(GOOD),13.998705(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:06:00,-0.031481(GOOD),0.025907(GOOD),40.134346(GOOD),1.580974(GOOD),109.888748(GOOD),27.940775(GOOD),13.997705(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:07:00,-0.031481(GOOD),0.027807(GOOD),40.106548(GOOD),1.578674(GOOD),109.777618(GOOD),27.940775(GOOD),13.997705(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:08:00,-0.031481(GOOD),0.027807(GOOD),40.127346(GOOD),1.580974(GOOD),109.666519(GOOD),27.940775(GOOD),13.997705(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:09:00,-0.024081(GOOD),0.014807(GOOD),40.106541(GOOD),1.580974(GOOD),109.948906(GOOD),27.940775(GOOD),13.998705(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:10:00,-0.025881(GOOD),0.038907(GOOD),40.120445(GOOD),1.536974(GOOD),109.897896(GOOD),27.940775(GOOD),13.998704(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:11:00,-0.031481(GOOD),0.024107(GOOD),40.106541(GOOD),1.546274(GOOD),109.675682(GOOD),27.940775(GOOD),13.998704(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:12:00,-0.025881(GOOD),0.027807(GOOD),40.118149(GOOD),1.546274(GOOD),109.573891(GOOD),27.940775(GOOD),13.997705(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:13:00,-0.024081(GOOD),0.035207(GOOD),40.120552(GOOD),1.560174(GOOD),109.828476(GOOD),27.940775(GOOD),13.998707(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:14:00,-0.025881(GOOD),0.009307(GOOD),40.118145(GOOD),1.532374(GOOD),109.902603(GOOD),27.940775(GOOD),13.998707(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:15:00,-0.031481(GOOD),0.027778(GOOD),40.120369(GOOD),1.587963(GOOD),110.023155(GOOD),27.940775(GOOD),13.997731(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-03-17 20:16:00,-0.025881(GOOD),0.020378(GOOD),40.134277(GOOD),1.564763(GOOD),109.606468(GOOD),27.940775(GOOD),13.997731(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-03-17 20:17:00,-0.031481(GOOD),0.044378(GOOD),40.106480(GOOD),1.574063(GOOD),109.995369(GOOD),27.940775(GOOD),13.998732(GOOD),0.000000(GOOD),-0.006933(GOOD)
@2026-03-17 20:18:00,-0.031481(GOOD),0.020378(GOOD),40.141178(GOOD),1.555564(GOOD),109.911964(GOOD),27.940775(GOOD),13.998732(GOOD),0.000000(GOOD),-0.006933(GOOD)
@2026-03-17 20:19:00,-0.025881(GOOD),0.022178(GOOD),40.118088(GOOD),1.571764(GOOD),110.245361(GOOD),27.940775(GOOD),13.997731(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-03-17 20:20:00,-0.025881(GOOD),0.016678(GOOD),40.124985(GOOD),1.578663(GOOD),109.810173(GOOD),27.940775(GOOD),13.998732(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-03-17 20:21:00,-0.025881(GOOD),0.022178(GOOD),40.124977(GOOD),1.553163(GOOD),110.138863(GOOD),27.940775(GOOD),13.998732(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-03-17 20:22:00,-0.031481(GOOD),0.016678(GOOD),40.106472(GOOD),1.574064(GOOD),110.083298(GOOD),27.940775(GOOD),13.998732(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-03-17 20:23:00,-0.025881(GOOD),0.038878(GOOD),40.083267(GOOD),1.539364(GOOD),110.064827(GOOD),27.940775(GOOD),13.998732(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-03-17 20:24:00,-0.025881(GOOD),0.033278(GOOD),40.122669(GOOD),1.569364(GOOD),109.824142(GOOD),27.966576(GOOD),13.997731(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-03-17 20:25:00,-0.036981(GOOD),0.022178(GOOD),40.134270(GOOD),1.539364(GOOD),110.180618(GOOD),27.940775(GOOD),13.997731(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-03-17 20:26:00,-0.025881(GOOD),0.027778(GOOD),40.131870(GOOD),1.402764(GOOD),109.782417(GOOD),27.966576(GOOD),13.998731(GOOD),0.000000(GOOD),-0.006933(GOOD)
@2026-03-17 20:27:00,-0.025881(GOOD),0.051878(GOOD),40.127270(GOOD),1.319364(GOOD),110.037048(GOOD),27.966576(GOOD),13.998731(GOOD),0.000000(GOOD),-0.013933(GOOD)
@2026-03-17 20:28:00,-0.025881(GOOD),0.046278(GOOD),40.111069(GOOD),1.321764(GOOD),109.930672(GOOD),27.966576(GOOD),13.997732(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-03-17 20:29:00,-0.031481(GOOD),0.033278(GOOD),40.083271(GOOD),1.312464(GOOD),109.740898(GOOD),27.940775(GOOD),13.998734(GOOD),0.000000(GOOD),-0.020833(GOOD)
@2026-03-17 20:30:00,-0.031481(GOOD),0.038889(GOOD),40.090279(GOOD),1.259259(GOOD),110.328697(GOOD),27.966583(GOOD),13.997731(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:31:00,-0.036981(GOOD),0.014789(GOOD),40.106483(GOOD),1.217560(GOOD),110.055603(GOOD),27.940783(GOOD),13.998733(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:32:00,-0.036981(GOOD),0.033289(GOOD),40.120384(GOOD),1.284660(GOOD),109.560219(GOOD),27.966583(GOOD),13.997734(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:33:00,-0.025881(GOOD),0.027789(GOOD),40.106472(GOOD),1.224460(GOOD),109.976921(GOOD),27.966583(GOOD),13.998734(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:34:00,-0.025881(GOOD),0.027789(GOOD),40.104172(GOOD),1.243060(GOOD),110.092613(GOOD),27.966583(GOOD),13.997734(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:35:00,-0.024081(GOOD),0.027789(GOOD),40.106472(GOOD),1.277760(GOOD),109.824097(GOOD),27.966583(GOOD),13.997734(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:36:00,-0.031481(GOOD),0.033289(GOOD),40.097172(GOOD),1.273060(GOOD),109.606499(GOOD),27.966583(GOOD),13.997734(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:37:00,-0.025881(GOOD),0.016689(GOOD),40.131866(GOOD),1.266160(GOOD),109.833282(GOOD),27.966583(GOOD),13.997735(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:38:00,-0.031481(GOOD),0.035189(GOOD),40.074070(GOOD),1.275460(GOOD),109.541679(GOOD),27.966583(GOOD),13.996835(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:39:00,-0.031481(GOOD),0.022189(GOOD),40.104168(GOOD),1.231460(GOOD),109.634285(GOOD),27.966583(GOOD),13.997735(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:40:00,-0.025881(GOOD),0.020389(GOOD),40.113358(GOOD),1.321761(GOOD),110.134285(GOOD),27.966583(GOOD),13.998735(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:41:00,-0.036981(GOOD),0.027789(GOOD),40.111053(GOOD),1.252261(GOOD),109.911980(GOOD),27.966583(GOOD),13.997734(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:42:00,-0.025881(GOOD),0.033289(GOOD),40.097050(GOOD),1.266160(GOOD),110.134293(GOOD),27.966583(GOOD),13.998734(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:43:00,-0.031481(GOOD),0.057389(GOOD),40.117950(GOOD),1.273060(GOOD),109.939804(GOOD),27.966583(GOOD),13.998734(GOOD),0.000000(GOOD),-0.013889(GOOD)
@2026-03-17 20:44:00,-0.025881(GOOD),0.046289(GOOD),40.113251(GOOD),1.240660(GOOD),109.870392(GOOD),27.966583(GOOD),13.998734(GOOD),0.000000(GOOD),-0.006889(GOOD)
@2026-03-17 20:45:00,-0.025926(GOOD),0.027778(GOOD),40.111115(GOOD),1.236111(GOOD),109.981476(GOOD),27.966583(GOOD),13.997731(GOOD),0.000000(GOOD),-0.006944(GOOD)
@2026-03-17 20:46:00,-0.025926(GOOD),0.022178(GOOD),40.111118(GOOD),1.266211(GOOD),109.773087(GOOD),27.966583(GOOD),13.998733(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:47:00,-0.037026(GOOD),0.046278(GOOD),40.111118(GOOD),1.259311(GOOD),109.759285(GOOD),27.966583(GOOD),13.998733(GOOD),0.000000(GOOD),-0.020844(GOOD)
@2026-03-17 20:48:00,-0.025926(GOOD),0.035178(GOOD),40.131916(GOOD),1.208311(GOOD),110.166702(GOOD),27.966583(GOOD),13.997732(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:49:00,-0.024126(GOOD),0.040678(GOOD),40.120411(GOOD),1.247712(GOOD),109.967606(GOOD),27.966583(GOOD),13.998733(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:50:00,-0.025926(GOOD),0.025878(GOOD),40.131912(GOOD),1.231512(GOOD),110.152779(GOOD),27.966583(GOOD),13.997734(GOOD),0.000000(GOOD),-0.020844(GOOD)
@2026-03-17 20:51:00,-0.037026(GOOD),0.027778(GOOD),40.120403(GOOD),1.254611(GOOD),109.995384(GOOD),27.966583(GOOD),13.997734(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:52:00,-0.025926(GOOD),0.035178(GOOD),40.074100(GOOD),1.208311(GOOD),109.638855(GOOD),27.966583(GOOD),13.997735(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:53:00,-0.025926(GOOD),0.033278(GOOD),40.118107(GOOD),1.162012(GOOD),109.527779(GOOD),27.966583(GOOD),13.998735(GOOD),0.000000(GOOD),-0.006944(GOOD)
@2026-03-17 20:54:00,-0.025926(GOOD),0.027778(GOOD),40.104210(GOOD),1.224512(GOOD),109.888901(GOOD),27.966583(GOOD),13.998734(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:55:00,-0.037026(GOOD),0.016678(GOOD),40.097210(GOOD),1.229211(GOOD),109.722221(GOOD),27.966583(GOOD),13.998734(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:56:00,-0.031526(GOOD),0.016678(GOOD),40.111103(GOOD),1.268511(GOOD),110.185371(GOOD),27.966583(GOOD),13.998734(GOOD),0.000000(GOOD),-0.006944(GOOD)
@2026-03-17 20:57:00,-0.031526(GOOD),0.027778(GOOD),40.074100(GOOD),1.243111(GOOD),109.819664(GOOD),27.966583(GOOD),13.997733(GOOD),0.000000(GOOD),-0.013944(GOOD)
@2026-03-17 20:58:00,-0.031526(GOOD),0.022178(GOOD),40.120407(GOOD),1.189811(GOOD),109.916862(GOOD),27.966583(GOOD),13.997733(GOOD),0.000000(GOOD),-0.020844(GOOD)
@2026-03-17 20:59:00,-0.037026(GOOD),0.014778(GOOD),40.083309(GOOD),1.219910(GOOD),110.208488(GOOD),27.966583(GOOD),13.997733(GOOD),0.000000(GOOD),-0.020844(GOOD)
@2026-03-17 21:00:00,-0.025926(GOOD),0.014815(GOOD),40.083332(GOOD),1.206018(GOOD),109.958336(GOOD),27.966583(GOOD),13.998704(GOOD),0.000000(GOOD),-0.020833(GOOD)
