$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
$Time,Data(Quality),Data(Quality),Data(Quality)
@2026-04-24 20:00:00,2856.303711(GOOD),289.190002(GOOD),60.537895(GOOD)
@2026-04-24 20:01:00,2932.237793(GOOD),285.559998(GOOD),60.570290(GOOD)
@2026-04-24 20:02:00,2893.018799(GOOD),283.677795(GOOD),60.628693(GOOD)
@2026-04-24 20:03:00,2893.018799(GOOD),289.190033(GOOD),60.524887(GOOD)
@2026-04-24 20:04:00,2856.303711(GOOD),288.786743(GOOD),60.472984(GOOD)
@2026-04-24 20:05:00,2805.402100(GOOD),288.786743(GOOD),60.596279(GOOD)
@2026-04-24 20:06:00,2853.799805(GOOD),289.190155(GOOD),60.583294(GOOD)
@2026-04-24 20:07:00,2884.674561(GOOD),286.097961(GOOD),60.557388(GOOD)
@2026-04-24 20:08:00,2909.708008(GOOD),283.274445(GOOD),60.544392(GOOD)
@2026-04-24 20:09:00,2873.826904(GOOD),289.593567(GOOD),60.570297(GOOD)
@2026-04-24 20:10:00,2909.708008(GOOD),290.534546(GOOD),60.518387(GOOD)
@2026-04-24 20:11:00,2927.231201(GOOD),284.215637(GOOD),60.485985(GOOD)
@2026-04-24 20:12:00,2856.303711(GOOD),289.190033(GOOD),60.349686(GOOD)
@2026-04-24 20:13:00,2858.806641(GOOD),288.249054(GOOD),60.602791(GOOD)
@2026-04-24 20:14:00,2852.965576(GOOD),288.249054(GOOD),60.641689(GOOD)
@2026-04-24 20:15:00,2893.018799(GOOD),287.845581(GOOD),60.557362(GOOD)
@2026-04-24 20:16:00,2881.336670(GOOD),288.248871(GOOD),60.596256(GOOD)
@2026-04-24 20:17:00,2813.746826(GOOD),287.442291(GOOD),60.388653(GOOD)
@2026-04-24 20:18:00,2842.117676(GOOD),287.442291(GOOD),60.531353(GOOD)
@2026-04-24 20:19:00,2887.177979(GOOD),287.442291(GOOD),60.544250(GOOD)
@2026-04-24 20:20:00,2887.177979(GOOD),287.442322(GOOD),60.375652(GOOD)
@2026-04-24 20:21:00,2941.416748(GOOD),287.442322(GOOD),60.622040(GOOD)
@2026-04-24 20:22:00,2901.363281(GOOD),287.442444(GOOD),60.362545(GOOD)
@2026-04-24 20:23:00,2918.052246(GOOD),287.442444(GOOD),60.563736(GOOD)
@2026-04-24 20:24:00,2844.621094(GOOD),287.442444(GOOD),60.544231(GOOD)
@2026-04-24 20:25:00,2858.806641(GOOD),287.845642(GOOD),60.518234(GOOD)
@2026-04-24 20:26:00,2833.773438(GOOD),287.845764(GOOD),60.466343(GOOD)
@2026-04-24 20:27:00,2915.549072(GOOD),287.845642(GOOD),60.479343(GOOD)
@2026-04-24 20:28:00,2898.860107(GOOD),287.845642(GOOD),60.440434(GOOD)
@2026-04-24 20:29:00,2879.667969(GOOD),288.248932(GOOD),60.550732(GOOD)
@2026-04-24 20:30:00,2901.363281(GOOD),287.845581(GOOD),60.524918(GOOD)
@2026-04-24 20:31:00,2918.886719(GOOD),287.845581(GOOD),60.557423(GOOD)
@2026-04-24 20:32:00,2890.515625(GOOD),287.845581(GOOD),60.427616(GOOD)
@2026-04-24 20:33:00,2862.144531(GOOD),287.845581(GOOD),60.518417(GOOD)
@2026-04-24 20:34:00,2842.117676(GOOD),287.442291(GOOD),60.473026(GOOD)
@2026-04-24 20:35:00,2992.317871(GOOD),287.442291(GOOD),60.434124(GOOD)
@2026-04-24 20:36:00,2864.647949(GOOD),287.442444(GOOD),60.544422(GOOD)
@2026-04-24 20:37:00,2831.270020(GOOD),287.442444(GOOD),60.408127(GOOD)
@2026-04-24 20:38:00,2839.614502(GOOD),288.249054(GOOD),60.447124(GOOD)
@2026-04-24 20:39:00,2862.144531(GOOD),287.845642(GOOD),60.492531(GOOD)
@2026-04-24 20:40:00,2797.057617(GOOD),287.442474(GOOD),60.486034(GOOD)
@2026-04-24 20:41:00,3009.006836(GOOD),287.845764(GOOD),60.531441(GOOD)
@2026-04-24 20:42:00,2862.144531(GOOD),284.619080(GOOD),60.512051(GOOD)
@2026-04-24 20:43:00,2913.045410(GOOD),287.442505(GOOD),60.388851(GOOD)
@2026-04-24 20:44:00,2941.416748(GOOD),288.249084(GOOD),60.388851(GOOD)
@2026-04-24 20:45:00,2859.641113(GOOD),288.248901(GOOD),60.440567(GOOD)
@2026-04-24 20:46:00,2856.303711(GOOD),287.845612(GOOD),60.414562(GOOD)
@2026-04-24 20:47:00,2862.144531(GOOD),288.786713(GOOD),60.356163(GOOD)
@2026-04-24 20:48:00,2878.833496(GOOD),282.333282(GOOD),60.375660(GOOD)
@2026-04-24 20:49:00,2867.151123(GOOD),288.248932(GOOD),60.466465(GOOD)
@2026-04-24 20:50:00,2929.734375(GOOD),287.845764(GOOD),60.427559(GOOD)
@2026-04-24 20:51:00,2842.117676(GOOD),287.442474(GOOD),60.258858(GOOD)
@2026-04-24 20:52:00,2938.079102(GOOD),288.249084(GOOD),60.388660(GOOD)
@2026-04-24 20:53:00,2893.018799(GOOD),283.678009(GOOD),60.466457(GOOD)
@2026-04-24 20:54:00,2881.336670(GOOD),283.678040(GOOD),60.440556(GOOD)
@2026-04-24 20:55:00,2909.708008(GOOD),284.215973(GOOD),60.427448(GOOD)
@2026-04-24 20:56:00,2927.231201(GOOD),285.022766(GOOD),60.369160(GOOD)
@2026-04-24 20:57:00,2909.708008(GOOD),285.157257(GOOD),60.401566(GOOD)
@2026-04-24 20:58:00,2929.734375(GOOD),290.131500(GOOD),60.583260(GOOD)
@2026-04-24 20:59:00,2831.270020(GOOD),289.593933(GOOD),60.427567(GOOD)
@2026-04-24 21:00:00,2887.177979(GOOD),289.190002(GOOD),60.427589(GOOD)
@2026-04-24 21:01:00,2881.336670(GOOD),282.467621(GOOD),60.382195(GOOD)
@2026-04-24 21:02:00,2901.363281(GOOD),288.786652(GOOD),60.408100(GOOD)
@2026-04-24 21:03:00,2853.799805(GOOD),287.845551(GOOD),60.453506(GOOD)
@2026-04-24 21:04:00,2898.860107(GOOD),287.442261(GOOD),60.466522(GOOD)
@2026-04-24 21:05:00,2819.587891(GOOD),283.677643(GOOD),60.375729(GOOD)
@2026-04-24 21:06:00,2960.608887(GOOD),286.500946(GOOD),60.460022(GOOD)
@2026-04-24 21:07:00,2862.144531(GOOD),286.500946(GOOD),60.492519(GOOD)
@2026-04-24 21:08:00,2893.018799(GOOD),286.500946(GOOD),60.440636(GOOD)
@2026-04-24 21:09:00,2921.390137(GOOD),285.559845(GOOD),60.395134(GOOD)
@2026-04-24 21:10:00,2862.144531(GOOD),286.500946(GOOD),60.369225(GOOD)
@2026-04-24 21:11:00,2881.336670(GOOD),286.904236(GOOD),60.252426(GOOD)
@2026-04-24 21:12:00,2923.893311(GOOD),286.500885(GOOD),60.375729(GOOD)
@2026-04-24 21:13:00,2847.958984(GOOD),286.500916(GOOD),60.271931(GOOD)
@2026-04-24 21:14:00,2831.270020(GOOD),286.500916(GOOD),60.505512(GOOD)
@2026-04-24 21:15:00,2845.455566(GOOD),286.501129(GOOD),60.265373(GOOD)
@2026-04-24 21:16:00,2890.515625(GOOD),286.501129(GOOD),60.388676(GOOD)
@2026-04-24 21:17:00,2856.303711(GOOD),286.501129(GOOD),60.336685(GOOD)
@2026-04-24 21:18:00,2958.105713(GOOD),285.963440(GOOD),60.336693(GOOD)
@2026-04-24 21:19:00,2932.237793(GOOD),285.963440(GOOD),60.291294(GOOD)
@2026-04-24 21:20:00,2890.515625(GOOD),285.560028(GOOD),60.375694(GOOD)
@2026-04-24 21:21:00,2827.932129(GOOD),285.963440(GOOD),60.395100(GOOD)
@2026-04-24 21:22:00,2938.079102(GOOD),285.963409(GOOD),60.414600(GOOD)
@2026-04-24 21:23:00,2983.973145(GOOD),286.501099(GOOD),60.265404(GOOD)
@2026-04-24 21:24:00,2909.708008(GOOD),285.963409(GOOD),60.330296(GOOD)
@2026-04-24 21:25:00,2847.958984(GOOD),285.963409(GOOD),60.323799(GOOD)
@2026-04-24 21:26:00,2895.522461(GOOD),285.963409(GOOD),60.349701(GOOD)
@2026-04-24 21:27:00,2929.734375(GOOD),286.904449(GOOD),60.362701(GOOD)
@2026-04-24 21:28:00,2876.330078(GOOD),286.904449(GOOD),60.323795(GOOD)
@2026-04-24 21:29:00,2884.674561(GOOD),286.904419(GOOD),60.265392(GOOD)
@2026-04-24 21:30:00,2893.018799(GOOD),285.560028(GOOD),60.369190(GOOD)
@2026-04-24 21:31:00,2884.674561(GOOD),285.156738(GOOD),60.414577(GOOD)
@2026-04-24 21:32:00,2901.363281(GOOD),285.560028(GOOD),60.213467(GOOD)
@2026-04-24 21:33:00,2913.045410(GOOD),285.560028(GOOD),60.258869(GOOD)
