´«¸ÐÆ÷Î»ÖÃ,0GTA32CRH101_PV,0GTA32CT101_PV,0GTA32CP101_PV
2026-03-21 00:00,93.6,11.33,98.3
2026-03-21 00:01,93.5,11.32,98.29
2026-03-21 00:02,93.6,11.26,98.29
2026-03-21 00:03,93.7,11.15,98.28
2026-03-21 00:04,94.2,11.01,98.29
2026-03-21 00:05,94,11.1,98.28
2026-03-21 00:06,93.7,11.07,98.29
2026-03-21 00:07,93.8,11.13,98.28
2026-03-21 00:08,93.7,11.21,98.29
2026-03-21 00:09,93.7,11.18,98.28
2026-03-21 00:10,93.3,11.25,98.28
2026-03-21 00:11,93.4,11.18,98.29
2026-03-21 00:12,93.6,11.31,98.28
2026-03-21 00:13,93.6,11.15,98.29
2026-03-21 00:14,93.3,11.19,98.28
2026-03-21 00:15,93.4,11.26,98.28
2026-03-21 00:16,93.5,11.24,98.27
2026-03-21 00:17,94,11,98.27
2026-03-21 00:18,94.9,11.07,98.27
2026-03-21 00:19,95,10.84,98.26
2026-03-21 00:20,95,10.81,98.26
2026-03-21 00:21,94.9,10.84,98.27
2026-03-21 00:22,95,10.7,98.27
2026-03-21 00:23,95.4,10.69,98.26
2026-03-21 00:24,95.9,10.72,98.27
2026-03-21 00:25,95.6,10.88,98.26
2026-03-21 00:26,95.9,10.87,98.25
2026-03-21 00:27,95.8,10.79,98.25
2026-03-21 00:28,95.7,10.67,98.25
2026-03-21 00:29,95.6,10.72,98.25
2026-03-21 00:30,95.1,10.58,98.26
2026-03-21 00:31,94.8,10.59,98.26
2026-03-21 00:32,95,10.63,98.28
2026-03-21 00:33,94.9,10.72,98.27
2026-03-21 00:34,95,10.8,98.27
2026-03-21 00:35,94.7,10.79,98.27
2026-03-21 00:36,94.7,10.73,98.27
2026-03-21 00:37,94.6,10.93,98.28
2026-03-21 00:38,94.5,11.04,98.27
2026-03-21 00:39,94.3,11.15,98.28
2026-03-21 00:40,94.3,11.03,98.28
2026-03-21 00:41,94.3,10.98,98.27
2026-03-21 00:42,94.2,11.01,98.28
2026-03-21 00:43,94,11.03,98.27
2026-03-21 00:44,93.9,11.17,98.27
2026-03-21 00:45,93.9,11.21,98.27
2026-03-21 00:46,93.6,11.13,98.27
2026-03-21 00:47,93.7,11.24,98.27
2026-03-21 00:48,93.7,11.19,98.27
2026-03-21 00:49,93.6,11.24,98.27
2026-03-21 00:50,93.6,11.26,98.27
2026-03-21 00:51,93.4,11.04,98.27
2026-03-21 00:52,94.2,11,98.27
2026-03-21 00:53,94.1,10.97,98.27
2026-03-21 00:54,93.9,11.04,98.27
2026-03-21 00:55,93.9,11.1,98.26
2026-03-21 00:56,93.9,11.08,98.26
2026-03-21 00:57,93.8,11.19,98.25
2026-03-21 00:58,93.6,11.29,98.25
2026-03-21 00:59,93.5,11.33,98.24
2026-03-21 01:00,93.2,11.22,98.25
2026-03-21 01:01,93.2,11.19,98.25
2026-03-21 01:02,93.2,11.24,98.25
2026-03-21 01:03,93.2,11.29,98.24
2026-03-21 01:04,93.1,11.08,98.24
2026-03-21 01:05,93.3,11.15,98.24
2026-03-21 01:06,93.1,11.05,98.23
2026-03-21 01:07,93.1,11.25,98.23
2026-03-21 01:08,93.2,11.24,98.23
2026-03-21 01:09,93,11.21,98.23
2026-03-21 01:10,93,11.15,98.22
2026-03-21 01:11,93.1,11.28,98.22
2026-03-21 01:12,92.8,11.21,98.22
2026-03-21 01:13,93,11.24,98.22
2026-03-21 01:14,92.9,11.08,98.22
2026-03-21 01:15,92.9,11.08,98.22
2026-03-21 01:16,92.8,11.18,98.22
2026-03-21 01:17,92.9,11.38,98.21
2026-03-21 01:18,92.8,11.22,98.21
2026-03-21 01:19,92.8,11.24,98.2
2026-03-21 01:20,92.8,11.26,98.2
2026-03-21 01:21,92.7,11.15,98.19
2026-03-21 01:22,92.8,11.13,98.19
2026-03-21 01:23,92.6,11.24,98.19
2026-03-21 01:24,92.6,11.19,98.19
2026-03-21 01:25,92.7,11.21,98.19
2026-03-21 01:26,92.7,11.35,98.19
2026-03-21 01:27,93,11.46,98.19
2026-03-21 01:28,92.5,11.35,98.18
2026-03-21 01:29,92.6,11.22,98.19
2026-03-21 01:30,92.5,11.18,98.19
2026-03-21 01:31,92.5,11.19,98.19
2026-03-21 01:32,92.4,11.31,98.19
2026-03-21 01:33,92.3,11.36,98.19
2026-03-21 01:34,92.1,11.42,98.2
2026-03-21 01:35,92.2,11.35,98.19
2026-03-21 01:36,92.2,11.38,98.18
2026-03-21 01:37,92.3,11.29,98.19
2026-03-21 01:38,92.7,11.18,98.18
2026-03-21 01:39,92.5,11.31,98.18
2026-03-21 01:40,92.3,11.28,98.18
2026-03-21 01:41,92.4,11.21,98.19
2026-03-21 01:42,92.3,11.21,98.2
2026-03-21 01:43,92.6,11.1,98.2
2026-03-21 01:44,92.5,11.21,98.2
2026-03-21 01:45,92.5,11.17,98.2
2026-03-21 01:46,92.6,11.18,98.2
2026-03-21 01:47,92.7,11.14,98.19
2026-03-21 01:48,92.8,11.08,98.19
2026-03-21 01:49,92.8,11.18,98.18
2026-03-21 01:50,92.7,11.31,98.19
2026-03-21 01:51,92.5,11.26,98.18
2026-03-21 01:52,92.8,11.25,98.19
2026-03-21 01:53,92.9,11.18,98.19
2026-03-21 01:54,92.7,11.07,98.19
2026-03-21 01:55,92.8,11.11,98.19
2026-03-21 01:56,93,11.03,98.19
2026-03-21 01:57,93.3,11.03,98.2
2026-03-21 01:58,93.3,11.04,98.2
2026-03-21 01:59,93.1,11.11,98.2
2026-03-21 02:00,93.1,11.13,98.2
2026-03-21 02:01,93.3,11.05,98.2
2026-03-21 02:02,93.4,11.07,98.22
2026-03-21 02:03,93.3,11,98.21
