$TagName,V4::DPU1005.HW.AI060106.PV,V4::DPU1005.HW.AI040201.PV
$Time,Data(Quality),Data(Quality)
@2026-03-14 00:00:00,19.796297(GOOD),7.720507(GOOD)
@2026-03-14 00:01:00,19.744389(GOOD),7.721208(GOOD)
@2026-03-14 00:02:00,19.784288(GOOD),7.718409(GOOD)
@2026-03-14 00:03:00,19.777798(GOOD),7.719008(GOOD)
@2026-03-14 00:04:00,19.776903(GOOD),7.716807(GOOD)
@2026-03-14 00:05:00,19.775915(GOOD),7.714706(GOOD)
@2026-03-14 00:06:00,19.763918(GOOD),7.715308(GOOD)
@2026-03-14 00:07:00,19.772211(GOOD),7.714708(GOOD)
@2026-03-14 00:08:00,19.780609(GOOD),7.714710(GOOD)
@2026-03-14 00:09:00,19.779613(GOOD),7.714511(GOOD)
@2026-03-14 00:10:00,19.777817(GOOD),7.711009(GOOD)
@2026-03-14 00:11:00,19.772209(GOOD),7.711709(GOOD)
@2026-03-14 00:12:00,19.775009(GOOD),7.711708(GOOD)
@2026-03-14 00:13:00,19.732412(GOOD),7.708910(GOOD)
@2026-03-14 00:14:00,19.763912(GOOD),7.710209(GOOD)
@2026-03-14 00:15:00,19.797222(GOOD),7.708021(GOOD)
@2026-03-14 00:16:00,19.791718(GOOD),7.708720(GOOD)
@2026-03-14 00:17:00,19.779617(GOOD),7.708720(GOOD)
@2026-03-14 00:18:00,19.764818(GOOD),7.707221(GOOD)
@2026-03-14 00:19:00,19.764826(GOOD),7.706719(GOOD)
@2026-03-14 00:20:00,19.768526(GOOD),7.705219(GOOD)
@2026-03-14 00:21:00,19.754623(GOOD),7.703720(GOOD)
@2026-03-14 00:22:00,19.769415(GOOD),7.703121(GOOD)
@2026-03-14 00:23:00,19.782412(GOOD),7.702923(GOOD)
@2026-03-14 00:24:00,19.769409(GOOD),7.701623(GOOD)
@2026-03-14 00:25:00,19.794407(GOOD),7.703723(GOOD)
@2026-03-14 00:26:00,19.779602(GOOD),7.700723(GOOD)
@2026-03-14 00:27:00,19.752810(GOOD),7.700924(GOOD)
@2026-03-14 00:28:00,19.781506(GOOD),7.700724(GOOD)
@2026-03-14 00:29:00,19.803707(GOOD),7.701322(GOOD)
@2026-03-14 00:30:00,19.771296(GOOD),7.702209(GOOD)
@2026-03-14 00:31:00,19.724091(GOOD),7.700108(GOOD)
@2026-03-14 00:32:00,19.774084(GOOD),7.700109(GOOD)
@2026-03-14 00:33:00,19.747183(GOOD),7.698511(GOOD)
@2026-03-14 00:34:00,19.767578(GOOD),7.695812(GOOD)
@2026-03-14 00:35:00,19.780581(GOOD),7.698512(GOOD)
@2026-03-14 00:36:00,19.787987(GOOD),7.695813(GOOD)
@2026-03-14 00:37:00,19.770391(GOOD),7.694912(GOOD)
@2026-03-14 00:38:00,19.753696(GOOD),7.695813(GOOD)
@2026-03-14 00:39:00,19.736986(GOOD),7.695514(GOOD)
@2026-03-14 00:40:00,19.788887(GOOD),7.698514(GOOD)
@2026-03-14 00:41:00,19.794390(GOOD),7.699214(GOOD)
@2026-03-14 00:42:00,19.759283(GOOD),7.696413(GOOD)
@2026-03-14 00:43:00,19.753681(GOOD),7.693013(GOOD)
@2026-03-14 00:44:00,19.759289(GOOD),7.692712(GOOD)
@2026-03-14 00:45:00,19.750927(GOOD),7.692091(GOOD)
@2026-03-14 00:46:00,19.811129(GOOD),7.686091(GOOD)
@2026-03-14 00:47:00,19.770437(GOOD),7.690590(GOOD)
@2026-03-14 00:48:00,19.796345(GOOD),7.688191(GOOD)
@2026-03-14 00:49:00,19.757549(GOOD),7.691392(GOOD)
@2026-03-14 00:50:00,19.774147(GOOD),7.688393(GOOD)
@2026-03-14 00:51:00,19.756542(GOOD),7.685592(GOOD)
@2026-03-14 00:52:00,19.768547(GOOD),7.691193(GOOD)
@2026-03-14 00:53:00,19.754646(GOOD),7.688393(GOOD)
@2026-03-14 00:54:00,19.759350(GOOD),7.689094(GOOD)
@2026-03-14 00:55:00,19.760349(GOOD),7.689693(GOOD)
@2026-03-14 00:56:00,19.779648(GOOD),7.686896(GOOD)
@2026-03-14 00:57:00,19.788050(GOOD),7.686296(GOOD)
@2026-03-14 00:58:00,19.775150(GOOD),7.685596(GOOD)
@2026-03-14 00:59:00,19.777952(GOOD),7.684095(GOOD)
@2026-03-14 01:00:00,19.761110(GOOD),7.683264(GOOD)
@2026-03-14 01:01:00,19.763008(GOOD),7.684764(GOOD)
@2026-03-14 01:02:00,19.775007(GOOD),7.685364(GOOD)
@2026-03-14 01:03:00,19.758297(GOOD),7.684764(GOOD)
@2026-03-14 01:04:00,19.788900(GOOD),7.684063(GOOD)
@2026-03-14 01:05:00,19.788904(GOOD),7.684764(GOOD)
@2026-03-14 01:06:00,19.772196(GOOD),7.684063(GOOD)
@2026-03-14 01:07:00,19.766699(GOOD),7.684762(GOOD)
@2026-03-14 01:08:00,19.776897(GOOD),7.682562(GOOD)
@2026-03-14 01:09:00,19.732391(GOOD),7.681061(GOOD)
@2026-03-14 01:10:00,19.755592(GOOD),7.682562(GOOD)
@2026-03-14 01:11:00,19.777800(GOOD),7.680463(GOOD)
@2026-03-14 01:12:00,19.775000(GOOD),7.681763(GOOD)
@2026-03-14 01:13:00,19.784296(GOOD),7.678266(GOOD)
@2026-03-14 01:14:00,19.774103(GOOD),7.678266(GOOD)
@2026-03-14 01:15:00,19.762962(GOOD),7.679604(GOOD)
@2026-03-14 01:16:00,19.783258(GOOD),7.677504(GOOD)
@2026-03-14 01:17:00,19.763863(GOOD),7.677705(GOOD)
@2026-03-14 01:18:00,19.800859(GOOD),7.679605(GOOD)
@2026-03-14 01:19:00,19.796263(GOOD),7.681808(GOOD)
@2026-03-14 01:20:00,19.767569(GOOD),7.680509(GOOD)
@2026-03-14 01:21:00,19.779570(GOOD),7.679609(GOOD)
@2026-03-14 01:22:00,19.802773(GOOD),7.676809(GOOD)
@2026-03-14 01:23:00,19.756470(GOOD),7.675908(GOOD)
@2026-03-14 01:24:00,19.786072(GOOD),7.675308(GOOD)
@2026-03-14 01:25:00,19.777769(GOOD),7.675908(GOOD)
@2026-03-14 01:26:00,19.799070(GOOD),7.674708(GOOD)
@2026-03-14 01:27:00,19.779577(GOOD),7.674007(GOOD)
@2026-03-14 01:28:00,19.778677(GOOD),7.675305(GOOD)
@2026-03-14 01:29:00,19.805580(GOOD),7.674405(GOOD)
@2026-03-14 01:30:00,19.752777(GOOD),7.670993(GOOD)
@2026-03-14 01:31:00,19.781479(GOOD),7.671395(GOOD)
@2026-03-14 01:32:00,19.763878(GOOD),7.670095(GOOD)
@2026-03-14 01:33:00,19.749981(GOOD),7.670096(GOOD)
@2026-03-14 01:34:00,19.742580(GOOD),7.668797(GOOD)
@2026-03-14 01:35:00,19.757368(GOOD),7.667296(GOOD)
@2026-03-14 01:36:00,19.781467(GOOD),7.668197(GOOD)
@2026-03-14 01:37:00,19.783262(GOOD),7.666698(GOOD)
@2026-03-14 01:38:00,19.749962(GOOD),7.667299(GOOD)
@2026-03-14 01:39:00,19.762962(GOOD),7.665800(GOOD)
@2026-03-14 01:40:00,19.760151(GOOD),7.664999(GOOD)
@2026-03-14 01:41:00,19.757351(GOOD),7.663700(GOOD)
@2026-03-14 01:42:00,19.781450(GOOD),7.663700(GOOD)
@2026-03-14 01:43:00,19.765652(GOOD),7.660699(GOOD)
@2026-03-14 01:44:00,19.811054(GOOD),7.660000(GOOD)
@2026-03-14 01:45:00,19.775000(GOOD),7.660875(GOOD)
@2026-03-14 01:46:00,19.772196(GOOD),7.659375(GOOD)
@2026-03-14 01:47:00,19.783297(GOOD),7.659975(GOOD)
@2026-03-14 01:48:00,19.769398(GOOD),7.661274(GOOD)
@2026-03-14 01:49:00,19.791693(GOOD),7.659374(GOOD)
@2026-03-14 01:50:00,19.786985(GOOD),7.659375(GOOD)
@2026-03-14 01:51:00,19.738888(GOOD),7.658674(GOOD)
@2026-03-14 01:52:00,19.779581(GOOD),7.658473(GOOD)
@2026-03-14 01:53:00,19.771282(GOOD),7.654772(GOOD)
@2026-03-14 01:54:00,19.764782(GOOD),7.659173(GOOD)
@2026-03-14 01:55:00,19.752787(GOOD),7.657173(GOOD)
@2026-03-14 01:56:00,19.761990(GOOD),7.655472(GOOD)
@2026-03-14 01:57:00,19.729582(GOOD),7.656373(GOOD)
@2026-03-14 01:58:00,19.759277(GOOD),7.656373(GOOD)
@2026-03-14 01:59:00,19.752779(GOOD),7.655071(GOOD)
@2026-03-14 02:00:00,19.767593(GOOD),7.654848(GOOD)
@2026-03-14 02:01:00,19.755598(GOOD),7.652749(GOOD)
@2026-03-14 02:02:00,19.785200(GOOD),7.651449(GOOD)
@2026-03-14 02:03:00,19.754606(GOOD),7.651248(GOOD)
@2026-03-14 02:04:00,19.790712(GOOD),7.650548(GOOD)
@2026-03-14 02:05:00,19.775017(GOOD),7.651247(GOOD)
@2026-03-14 02:06:00,19.781517(GOOD),7.648446(GOOD)
@2026-03-14 02:07:00,19.784315(GOOD),7.649047(GOOD)
@2026-03-14 02:08:00,19.748116(GOOD),7.647547(GOOD)
@2026-03-14 02:09:00,19.776915(GOOD),7.651246(GOOD)
@2026-03-14 02:10:00,19.732410(GOOD),7.649046(GOOD)
@2026-03-14 02:11:00,19.788004(GOOD),7.649745(GOOD)
@2026-03-14 02:12:00,19.773108(GOOD),7.649045(GOOD)
@2026-03-14 02:13:00,19.782412(GOOD),7.650546(GOOD)
@2026-03-14 02:14:00,19.774111(GOOD),7.646946(GOOD)
@2026-03-14 02:15:00,19.795370(GOOD),7.646882(GOOD)
@2026-03-14 02:16:00,19.792566(GOOD),7.646183(GOOD)
@2026-03-14 02:17:00,19.808262(GOOD),7.644482(GOOD)
@2026-03-14 02:18:00,19.795359(GOOD),7.643883(GOOD)
@2026-03-14 02:19:00,19.765663(GOOD),7.643182(GOOD)
@2026-03-14 02:20:00,19.731459(GOOD),7.641881(GOOD)
@2026-03-14 02:21:00,19.782356(GOOD),7.643881(GOOD)
@2026-03-14 02:22:00,19.768349(GOOD),7.643882(GOOD)
