时间戳,厌氧进水泵出口1流量_平均值,厌氧进水泵出口1流量_变化值,厌氧进水泵出口1流量_变化率,厌氧进水超越流量_平均值,厌氧进水超越流量_变化值,厌氧进水超越流量_变化率,一级硝化池1#温度_平均值,一级硝化池1#温度_变化值,一级硝化池1#温度_变化率,一级硝化池1#溶解氧DO_平均值,一级硝化池1#溶解氧DO_变化值,一级硝化池1#溶解氧DO_变化率,硝化液回流流量_平均值,硝化液回流流量_变化值,硝化液回流流量_变化率,厂区环境温度_平均值,厂区环境温度_变化值,厂区环境温度_变化率,厂区环境湿度_平均值,厂区环境湿度_变化值,厂区环境湿度_变化率,调节池PH值_实时值,调节池PH值_HRT平均值,调节池COD_实时值,调节池COD_HRT平均值,调节池氨氮_实时值,调节池氨氮_HRT平均值,厌氧出口PH值_实时值,厌氧出口PH值_HRT平均值,厌氧出口COD_实时值,厌氧出口COD_HRT平均值,厌氧出口氨氮_实时值,厌氧出口氨氮_HRT平均值,一级生化出口PH值_实时值,一级生化出口PH值_HRT平均值,一级生化出口COD_实时值,一级生化出口COD_HRT平均值,一级生化出口氨氮_实时值,一级生化出口氨氮_HRT平均值,一级生化出口SV30_实时值,一级生化出口SV30_HRT平均值,一级生化出口MLSS_实时值,一级生化出口MLSS_HRT平均值,一级生化出口总氮_实时值,一级生化出口总氮_HRT平均值,一级生化出口COD_输出_t+120min,一级生化出口氨氮_输出_t+120min
2026-03-01 02:00:00,0.015689377358490558,0.005554999999999999,0.3749578130273371,0.0,0.0,0.0,19.350653141509447,-0.07721499999999892,-0.003980612614812123,7.0,0.0,0.0,0.0004286509433962264,0.0,0.0,13.662075471698113,0.09999999999999964,0.00729394602479939,97.99999999999997,0.9000000000000057,0.009278350515463977,5.9,5.9,40880.0,40880.0,1522.0,1522.0,7.81,7.81,2798.0,2798.0,1522.0,1522.0,8.35,8.35,646.2,646.2,10.04,10.04,99.0,99.0,15.0,15.0,323.4,323.4,646.2,10.04
2026-03-01 04:00:00,0.01640985849056604,0.005555,1.4997300215982723,0.0,0.0,0.0,19.28266052830191,-0.051487000000001615,-0.002664882314704016,7.0,0.0,0.0,0.0009633679245283022,0.0,0.0,14.087735849056596,0.7300000000000004,0.05270758122743686,98.28018867924534,-1.1000000000000085,-0.011201629327902326,5.9,5.899999999999987,40880.0,40880.0,1522.0,1522.0,7.81,7.809999999999976,2798.0,2798.0,1522.0,1522.0,8.35,8.350000000000016,646.2,646.1999999999986,10.04,10.039999999999983,99.0,99.0,15.0,15.0,323.4,323.4000000000007,646.2,10.04
2026-03-01 06:00:00,0.013055537735849058,-0.018518,-0.8333183331833318,0.0,0.0,0.0,19.313024311320763,0.0,0.0,7.0,0.0,0.0,0.0005558301886792453,0.0,0.0,14.551509433962265,0.379999999999999,0.0267229254571026,98.42452830188675,1.0999999999999943,0.011178861788617827,5.9,5.900000000000014,40880.0,40880.0,1522.0,1522.0,7.81,7.80999999999996,2798.0,2798.0,1522.0,1522.0,8.35,8.349999999999964,646.2,646.2000000000002,10.04,10.039999999999973,99.0,99.0,15.0,15.0,323.4,323.3999999999999,646.2,10.04
2026-03-01 08:00:00,0.0168378396226415,-0.018519,-0.6666786665706674,0.0,0.0,0.0,19.320553000000015,0.0,0.0,7.0,0.0,0.0,1.9358490566037736e-05,0.0,0.0,15.035943396226413,0.8499999999999996,0.05798090040927692,98.31981132075471,-0.7000000000000028,-0.007142857142857172,5.9,5.900000000000039,40880.0,40880.0,1522.0,1522.0,7.81,7.809999999999955,2798.0,2798.0,1522.0,1522.0,8.35,8.349999999999946,646.2,646.200000000004,10.04,10.03999999999997,99.0,99.0,15.0,15.0,323.4,323.399999999998,646.2,10.04
2026-03-01 10:00:00,0.016409660377358488,0.005556,0.6000648018144509,0.0,0.0,0.0,19.34978543396229,0.038596999999999326,0.0019977171460878644,7.0,0.0,0.0,0.00016834905660377357,0.0,0.0,16.062641509433973,0.0,0.0,96.17641509433963,1.0,0.010460251046025106,5.9,5.900000000000052,40880.0,40880.0,1522.0,1522.0,7.81,7.809999999999953,2798.0,2798.0,1522.0,1522.0,8.35,8.349999999999936,646.2,646.2000000000058,10.04,10.039999999999967,99.0,99.0,15.0,15.0,323.4,323.3999999999971,646.2,10.04
2026-03-01 12:00:00,0.015990122641509428,0.007408000000000001,0.8000864024192679,0.0,0.0,0.0,19.424241207547173,0.0386179999999996,0.0019908476067968025,7.0,0.0,0.0,0.00029518867924528306,0.0,0.0,16.938584905660377,1.9800000000000004,0.12229771463866586,95.02924528301887,-3.700000000000003,-0.03838174273858924,5.9,5.90000000000006,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000009,2798.0,2798.0,1522.0,1522.0,8.35,8.350000000000014,646.2,646.200000000007,10.04,10.039999999999967,99.0,99.0,15.0,15.0,323.4,323.3999999999965,646.2,10.04
2026-03-01 14:00:00,0.018651528301886787,0.029629000000000003,7.999190064794817,0.0,0.0,0.0,19.529884103773576,0.11583900000000114,0.005948086069712804,7.0,0.0,0.0,0.003959500000000001,-0.002315,-1.0,17.368207547169806,0.019999999999999574,0.0011389521640090875,95.54433962264143,0.7999999999999972,0.00847457627118641,5.9,5.900000000000048,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000075,2798.0,2798.0,1522.0,1522.0,8.35,8.350000000000072,646.2,646.2000000000078,10.04,10.039999999999967,99.0,99.0,15.0,15.0,323.4,323.3999999999961,646.2,10.04
2026-03-01 16:00:00,0.01953035849056604,0.024074,6.499460043196545,0.0,0.0,0.0,19.66842533018869,0.14157300000000106,0.0072217423245937865,7.0,0.0,0.0,0.001928707547169811,0.0,0.0,17.814433962264157,0.5899999999999999,0.03329571106094808,95.25660377358481,-1.7000000000000028,-0.017857142857142887,5.9,5.89999999999999,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000121,2798.0,2798.0,1522.0,1522.0,8.35,8.350000000000113,646.2,646.2000000000063,10.04,10.039999999999996,99.0,99.0,15.0,15.0,323.4,323.3999999999969,646.2,10.04
2026-03-01 18:00:00,0.018228273584905665,-0.011111,-0.5,0.0,0.0,0.0,19.84159837735848,0.16735100000000003,0.008475489168531374,7.0,0.0,0.0,0.0033263113207547186,-0.016204,-1.0,18.685660377358488,-0.4299999999999997,-0.02276336686077288,93.19622641509433,2.799999999999997,0.030467899891186038,5.9,5.899999999999945,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000156,2798.0,2798.0,1522.0,1522.0,8.35,8.350000000000145,646.2,646.1999999999997,10.04,10.040000000000104,99.0,99.0,15.0,15.0,323.4,323.4000000000002,646.2,10.04
2026-03-01 20:00:00,0.016488660377358483,0.0037040000000000007,0.3333633336333364,0.0,0.0,0.0,19.994001669811354,0.11583900000000114,0.00581360101289227,7.0,0.0,0.0,0.002768971698113207,-0.002315,-1.0,17.883867924528307,-0.03999999999999915,-0.002222222222222175,97.04622641509432,1.8999999999999915,0.0199161425576519,5.9,5.899999999999912,40880.0,40880.0,1522.0,1522.0,7.81,7.810000000000155,2798.0,2798.0,1522.0,1522.0,8.35,8.350000000000168,646.2,646.1999999999946,10.04,10.04000000000019,99.0,99.0,15.0,15.0,323.4,323.4000000000028,646.2,10.04
