时间戳,硝化液回流流量_平均值,硝化液回流流量_变化值,硝化液回流流量_变化率,循环流量1_平均值,循环流量1_变化值,循环流量1_变化率,厂区环境温度_平均值,厂区环境温度_变化值,厂区环境温度_变化率,厂区环境湿度_平均值,厂区环境湿度_变化值,厂区环境湿度_变化率,一级生化出口PH值_实时值,一级生化出口PH值_HRT平均值,一级生化出口COD_实时值,一级生化出口COD_HRT平均值,一级生化出口氨氮_实时值,一级生化出口氨氮_HRT平均值,一级生化出口SV30_实时值,一级生化出口SV30_HRT平均值,一级生化出口MLSS_实时值,一级生化出口MLSS_HRT平均值,一级生化出口总氮_实时值,一级生化出口总氮_HRT平均值,超滤系统出口PH值_实时值,超滤系统出口PH值_HRT平均值,超滤系统出口COD_实时值,超滤系统出口COD_HRT平均值,超滤系统出口氨氮_实时值,超滤系统出口氨氮_HRT平均值,超滤系统出口COD_输出_t+120min,超滤系统出口氨氮_输出_t+120min
2026-03-01 02:00:00,0.0004286509433962264,0.0,0.0,0.0,0.0,0.0,13.662075471698113,0.09999999999999964,0.00729394602479939,97.99999999999997,0.9000000000000057,0.009278350515463977,8.35,8.35,646.2,646.2,10.04,10.04,99.0,99.0,15.0,15.0,323.4,323.4,8.68,8.68,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 04:00:00,0.0009633679245283022,0.0,0.0,0.0,0.0,0.0,14.087735849056596,0.7300000000000004,0.05270758122743686,98.28018867924534,-1.1000000000000085,-0.011201629327902326,8.35,8.350000000000016,646.2,646.1999999999986,10.04,10.039999999999983,99.0,99.0,15.0,15.0,323.4,323.4000000000007,8.68,8.67999999999998,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 06:00:00,0.0005558301886792453,0.0,0.0,0.0,0.0,0.0,14.551509433962265,0.379999999999999,0.0267229254571026,98.42452830188675,1.0999999999999943,0.011178861788617827,8.35,8.349999999999964,646.2,646.2000000000002,10.04,10.039999999999973,99.0,99.0,15.0,15.0,323.4,323.3999999999999,8.68,8.680000000000017,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 08:00:00,1.9358490566037736e-05,0.0,0.0,0.0,0.0,0.0,15.035943396226413,0.8499999999999996,0.05798090040927692,98.31981132075471,-0.7000000000000028,-0.007142857142857172,8.35,8.349999999999946,646.2,646.200000000004,10.04,10.03999999999997,99.0,99.0,15.0,15.0,323.4,323.399999999998,8.68,8.679999999999957,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 10:00:00,0.00016834905660377357,0.0,0.0,0.0,0.0,0.0,16.062641509433973,0.0,0.0,96.17641509433963,1.0,0.010460251046025106,8.35,8.349999999999936,646.2,646.2000000000058,10.04,10.039999999999967,99.0,99.0,15.0,15.0,323.4,323.3999999999971,8.68,8.679999999999936,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 12:00:00,0.00029518867924528306,0.0,0.0,0.0,0.0,0.0,16.938584905660377,1.9800000000000004,0.12229771463866586,95.02924528301887,-3.700000000000003,-0.03838174273858924,8.35,8.350000000000014,646.2,646.200000000007,10.04,10.039999999999967,99.0,99.0,15.0,15.0,323.4,323.3999999999965,8.68,8.680000000000007,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 14:00:00,0.003959500000000001,-0.002315,-1.0,8.951645188679246,0.0,0.0,17.368207547169806,0.019999999999999574,0.0011389521640090875,95.54433962264143,0.7999999999999972,0.00847457627118641,8.35,8.350000000000072,646.2,646.2000000000078,10.04,10.039999999999967,99.0,99.0,15.0,15.0,323.4,323.3999999999961,8.68,8.680000000000053,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 16:00:00,0.001928707547169811,0.0,0.0,0.0,0.0,0.0,17.814433962264157,0.5899999999999999,0.03329571106094808,95.25660377358481,-1.7000000000000028,-0.017857142857142887,8.35,8.350000000000113,646.2,646.2000000000063,10.04,10.039999999999996,99.0,99.0,15.0,15.0,323.4,323.3999999999969,8.68,8.680000000000089,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 18:00:00,0.0033263113207547186,-0.016204,-1.0,0.0,0.0,0.0,18.685660377358488,-0.4299999999999997,-0.02276336686077288,93.19622641509433,2.799999999999997,0.030467899891186038,8.35,8.350000000000145,646.2,646.1999999999997,10.04,10.040000000000104,99.0,99.0,15.0,15.0,323.4,323.4000000000002,8.68,8.680000000000113,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 20:00:00,0.002768971698113207,-0.002315,-1.0,0.0,0.0,0.0,17.883867924528307,-0.03999999999999915,-0.002222222222222175,97.04622641509432,1.8999999999999915,0.0199161425576519,8.35,8.350000000000168,646.2,646.1999999999946,10.04,10.04000000000019,99.0,99.0,15.0,15.0,323.4,323.4000000000028,8.68,8.680000000000133,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-01 22:00:00,0.0035399245283018878,-0.023148,-1.0,0.0,0.0,0.0,18.133490566037732,0.2799999999999976,0.015529672767609404,95.89245283018866,-2.3999999999999915,-0.02479338842975198,8.35,8.350000000000188,646.2,646.1999999999905,10.04,10.040000000000258,99.0,99.0,15.0,15.0,323.4,323.4000000000048,8.68,8.680000000000149,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-02 00:00:00,0.0029290566037735847,0.0,0.0,0.0,0.0,0.0,18.136509433962257,-0.10999999999999943,-0.006050605060506019,95.93962264150942,2.200000000000003,0.02313354363827553,8.35,8.350000000000204,646.2,646.1999999999871,10.04,10.040000000000314,99.0,99.0,15.0,15.0,323.4,323.4000000000065,8.68,8.680000000000161,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-02 02:00:00,0.0033896320754716984,-0.002315,-1.0,0.0,0.0,0.0,17.042735849056605,-1.8900000000000006,-0.10564561207378427,98.25000000000003,0.9000000000000057,0.009268795056642696,8.35,8.350000000000218,646.2,646.1999999999842,10.04,10.04000000000036,99.0,99.0,15.0,15.0,323.4,323.4000000000079,8.68,8.680000000000172,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-02 04:00:00,0.001043943396226415,0.0,0.0,0.0,0.0,0.0,14.464339622641505,-1.2200000000000006,-0.07968647942521231,97.52830188679236,-0.29999999999999716,-0.0030706243602865624,8.35,8.350000000000229,646.2,646.199999999982,10.04,10.0400000000004,99.0,99.0,15.0,15.0,323.4,323.4000000000091,8.68,8.680000000000181,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-02 06:00:00,0.00028021698113207545,-0.006944,-1.0,0.0,0.0,0.0,13.721320754716979,-0.7899999999999991,-0.05598866052445069,97.49811320754715,-0.5,-0.005117707267144319,8.35,8.350000000000238,646.2,646.1999999999799,10.04,10.040000000000434,99.0,99.0,15.0,15.0,323.4,323.40000000001004,8.68,8.68000000000019,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-02 08:00:00,6.275471698113207e-05,0.0,0.0,0.0,0.0,0.0,13.281415094339625,-0.35999999999999943,-0.02786377708978324,98.01792452830189,-2.200000000000003,-0.02222222222222225,8.35,8.350000000000247,646.2,646.1999999999781,10.04,10.040000000000465,99.0,99.0,15.0,15.0,323.4,323.40000000001095,8.68,8.680000000000197,500.0,500.0,10.0,10.0,500.0,10.0
2026-03-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,12.580188679245275,0.1999999999999993,0.015835312747426705,96.53018867924528,-0.8999999999999915,-0.009345794392523277,8.35,8.350000000000254,646.2,646.1999999999766,10.04,10.04000000000049,99.0,99.0,15.0,15.0,323.4,323.4000000000117,8.68,8.680000000000202,500.0,500.0,10.0,10.0,500.0,10.0
