特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
一级硝化池1#溶解氧DO_平均值,0.7719009231284579,0.7271533338857709,0.7719009231284579,0.7271533338857709,强
一级硝化池1#温度_平均值,0.08048448265364849,0.02772705005468184,0.08048448265364849,0.02772705005468184,很弱
一级硝化风机出口1流量_平均值,0.06676027353564747,0.028394782653142738,0.06676027353564747,0.028394782653142738,很弱
1#\2#调节池生化指标平均NH3-N_时间平均值,-0.06055403835241171,-0.0220721823187633,0.06055403835241171,0.0220721823187633,很弱
厂区环境温度_平均值,-0.055614490876323246,-0.04678051757193516,0.055614490876323246,0.04678051757193516,很弱
厌氧出口生化指标NH3-N_时间平均值,-0.054122347345165044,-0.021423725795128454,0.054122347345165044,0.021423725795128454,很弱
厌氧出口生化指标COD_时间平均值,-0.045702203094172604,-0.03845553835630023,0.045702203094172604,0.03845553835630023,很弱
硝化液回流泵1~2后流量_平均值,0.035022409872929705,0.028856745877540894,0.035022409872929705,0.028856745877540894,很弱
厌氧出口生化指标COD_实时值,-0.03277262182581437,-0.03277563449922525,0.03277262182581437,0.03277563449922525,很弱
厂区环境湿度_平均值,0.03226371162122375,0.03486926147450902,0.03226371162122375,0.03486926147450902,很弱
厌氧出口生化指标PH_时间平均值,0.03008525873678334,0.024941759104381088,0.03008525873678334,0.024941759104381088,很弱
1#\2#调节池生化指标平均PH_时间平均值,0.02831161020611412,0.022270003239421007,0.02831161020611412,0.022270003239421007,很弱
1#\2#调节池生化指标平均NH3-N_实时值,-0.028063962292725057,-0.020856733027008537,0.028063962292725057,0.020856733027008537,很弱
厌氧出口生化指标NH3-N_实时值,-0.028063962292725057,-0.020856733027008537,0.028063962292725057,0.020856733027008537,很弱
厌氧进水泵出口1流量_平均值,0.027489887218138994,0.030519671121661717,0.027489887218138994,0.030519671121661717,很弱
一级生化系统出口MLSS_时间平均值,-0.02632220204272429,-0.025275175292681373,0.02632220204272429,0.025275175292681373,很弱
一级生化系统出口COD_时间平均值,-0.02530690994494857,-0.022497887781066418,0.02530690994494857,0.022497887781066418,很弱
一级生化系统出口TN_时间平均值,0.024887809287924327,0.024687673536312217,0.024887809287924327,0.024687673536312217,很弱
一级生化系统出口TN_实时值,0.02288884593375345,0.023716414631430975,0.02288884593375345,0.023716414631430975,很弱
一级生化系统出口MLSS_实时值,-0.022139668719499607,-0.025482796698309856,0.022139668719499607,0.025482796698309856,很弱
厌氧出口生化指标PH_实时值,0.020704635618121997,0.018434529591465406,0.020704635618121997,0.018434529591465406,很弱
一级生化系统出口COD_实时值,-0.0187255056856074,-0.018784478041889794,0.0187255056856074,0.018784478041889794,很弱
