特征1,特征2,Pearson相关系数,绝对值
1#\2#调节池生化指标平均NH3-N_实时值,厌氧出口生化指标NH3-N_实时值,1.0,1.0
一级硝化池1#温度_变化率,一级硝化池1#溶解氧DO_变化值,0.9996987609078662,0.9996987609078662
一级硝化池1#温度_变化值,一级硝化池1#温度_变化率,0.999347874084948,0.999347874084948
一级硝化池1#温度_变化值,一级硝化池1#溶解氧DO_变化值,0.9985017432331617,0.9985017432331617
1#\2#调节池生化指标平均NH3-N_时间平均值,厌氧出口生化指标NH3-N_时间平均值,0.9836643513425204,0.9836643513425204
厂区环境温度_变化值,厂区环境温度_变化率,0.9489885050035817,0.9489885050035817
厂区环境湿度_变化值,厂区环境湿度_变化率,0.9330090260524306,0.9330090260524306
1#\2#调节池生化指标平均PH_时间平均值,厌氧出口生化指标PH_时间平均值,0.9292243476741082,0.9292243476741082
厌氧出口生化指标PH_时间平均值,厌氧出口生化指标COD_时间平均值,-0.9215160753246449,0.9215160753246449
一级生化系统出口COD_时间平均值,一级生化系统出口TN_实时值,-0.9149315879209314,0.9149315879209314
一级生化系统出口COD_时间平均值,一级生化系统出口TN_时间平均值,-0.9082255742587425,0.9082255742587425
厌氧出口生化指标PH_时间平均值,厌氧出口生化指标COD_实时值,-0.9038540375479015,0.9038540375479015
厌氧出口生化指标COD_实时值,厌氧出口生化指标COD_时间平均值,0.8731801246032479,0.8731801246032479
1#\2#调节池生化指标平均PH_时间平均值,厌氧出口生化指标COD_实时值,-0.8627805575632997,0.8627805575632997
一级生化系统出口TN_实时值,一级生化系统出口TN_时间平均值,0.8625387465674418,0.8625387465674418
厌氧出口生化指标PH_实时值,厌氧出口生化指标COD_实时值,-0.8590333441987057,0.8590333441987057
1#\2#调节池生化指标平均PH_时间平均值,厌氧出口生化指标COD_时间平均值,-0.8529235803072012,0.8529235803072012
厌氧出口生化指标PH_时间平均值,一级生化系统出口MLSS_时间平均值,-0.8459931419170753,0.8459931419170753
一级硝化池1#温度_平均值,一级生化系统出口MLSS_时间平均值,0.8452449643722106,0.8452449643722106
一级生化系统出口MLSS_实时值,一级生化系统出口MLSS_时间平均值,0.831454445043629,0.831454445043629
