特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
一级生化出口氨氮_实时值,0.9742639031057946,0.9812667404270079,0.9742639031057946,0.9812667404270079,强
一级生化出口COD_实时值,0.5622247042009765,0.6826401154724437,0.5622247042009765,0.6826401154724437,中等
厌氧出口PH值_HRT平均值,-0.5025264488466162,-0.7552797768266053,0.5025264488466162,0.7552797768266053,中等
一级生化出口氨氮_HRT平均值,0.4630444154900743,0.7150783885417279,0.4630444154900743,0.7150783885417279,中等
调节池PH值_HRT平均值,-0.442254209691356,-0.7431534611015267,0.442254209691356,0.7431534611015267,中等
厌氧出口COD_实时值,0.4341547825327462,0.7454110996833414,0.4341547825327462,0.7454110996833414,中等
厌氧出口PH值_实时值,-0.42433879362068105,-0.652547026363821,0.42433879362068105,0.652547026363821,中等
一级生化出口总氮_实时值,-0.4158796951621986,-0.6635760706311085,0.4158796951621986,0.6635760706311085,中等
厌氧出口COD_HRT平均值,0.3935418759958035,0.7173777427864046,0.3935418759958035,0.7173777427864046,弱
一级硝化池1#温度_平均值,0.38952025376875876,0.6109141280372233,0.38952025376875876,0.6109141280372233,弱
一级生化出口MLSS_HRT平均值,0.3661715584736461,0.586882910018257,0.3661715584736461,0.586882910018257,弱
调节池COD_HRT平均值,-0.36412824768497287,-0.3121273878593228,0.36412824768497287,0.3121273878593228,弱
厌氧进水泵出口1流量_平均值,0.36157134869135343,0.4324133727184036,0.36157134869135343,0.4324133727184036,弱
一级生化出口MLSS_实时值,0.34380385797640933,0.5678770151881923,0.34380385797640933,0.5678770151881923,弱
调节池PH值_实时值,-0.2940033655018705,-0.5471960702396127,0.2940033655018705,0.5471960702396127,弱
厂区环境温度_平均值,0.24116567542445908,0.4154507748816259,0.24116567542445908,0.4154507748816259,弱
一级生化出口COD_HRT平均值,0.24081132381136494,0.47115127732271705,0.24081132381136494,0.47115127732271705,弱
厌氧出口氨氮_HRT平均值,0.23094215136600385,0.41158053371243447,0.23094215136600385,0.41158053371243447,弱
调节池氨氮_HRT平均值,0.23094215136600385,0.41158053371243447,0.23094215136600385,0.41158053371243447,弱
一级生化出口总氮_HRT平均值,-0.21876103342562855,-0.4890029908870202,0.21876103342562855,0.4890029908870202,弱
一级生化出口PH值_实时值,0.18279446687697912,0.23058702941909376,0.18279446687697912,0.23058702941909376,很弱
硝化液回流流量_平均值,0.17724157980431596,0.20775127132459514,0.17724157980431596,0.20775127132459514,很弱
厌氧出口氨氮_实时值,0.17220272061607314,0.3896773659983944,0.17220272061607314,0.3896773659983944,很弱
调节池氨氮_实时值,0.17220272061607314,0.3896773659983944,0.17220272061607314,0.3896773659983944,很弱
一级生化出口PH值_HRT平均值,-0.13380735609547822,-0.07421128056388059,0.13380735609547822,0.07421128056388059,很弱
调节池COD_实时值,0.11467791750423698,0.20122017153056504,0.11467791750423698,0.20122017153056504,很弱
厌氧进水超越流量_平均值,0.10832618269822382,0.13875371724968077,0.10832618269822382,0.13875371724968077,很弱
厌氧进水超越流量_变化率,-0.07115212173225663,-0.08352521810921668,0.07115212173225663,0.08352521810921668,很弱
厂区环境湿度_平均值,-0.04784406630342508,-0.10964484811924007,0.04784406630342508,0.10964484811924007,很弱
厌氧进水超越流量_变化值,0.046376333497080646,-0.002514684925000922,0.046376333497080646,0.002514684925000922,很弱
硝化液回流流量_变化率,0.03045432280920985,0.02238627444865469,0.03045432280920985,0.02238627444865469,很弱
厌氧进水泵出口1流量_变化值,-0.029691921451124002,-0.03059526225006768,0.029691921451124002,0.03059526225006768,很弱
厌氧进水泵出口1流量_变化率,-0.025455303944979104,0.02488751551358952,0.025455303944979104,0.02488751551358952,很弱
一级硝化池1#温度_变化率,-0.019144552598215247,0.09052492401516837,0.019144552598215247,0.09052492401516837,很弱
一级硝化池1#温度_变化值,-0.017379610909080082,0.1033853250194641,0.017379610909080082,0.1033853250194641,很弱
厂区环境温度_变化值,0.011681970222566708,0.00043145444905783064,0.011681970222566708,0.00043145444905783064,很弱
硝化液回流流量_变化值,0.01155754869898582,0.002470166178223188,0.01155754869898582,0.002470166178223188,很弱
厂区环境湿度_变化率,-0.010491886584904398,-0.004200163675589795,0.010491886584904398,0.004200163675589795,很弱
厂区环境湿度_变化值,-0.004557552160125966,-0.0051933009223214446,0.004557552160125966,0.0051933009223214446,很弱
厂区环境温度_变化率,0.00283972993372776,0.025380131478247418,0.00283972993372776,0.025380131478247418,很弱
一级硝化池1#溶解氧DO_平均值,0.0028169484991002226,-0.03595155033206467,0.0028169484991002226,0.03595155033206467,很弱
一级硝化池1#溶解氧DO_变化率,0.0019239728254245318,-0.029877632309211425,0.0019239728254245318,0.029877632309211425,很弱
一级硝化池1#溶解氧DO_变化值,0.0019239728254244674,-0.029877632309211425,0.0019239728254244674,0.029877632309211425,很弱
一级生化出口SV30_实时值,,,,,常量/不可计算
一级生化出口SV30_HRT平均值,,,,,常量/不可计算
