特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
厌氧出口COD_实时值,0.9953071516203889,0.9934453655155961,0.9953071516203889,0.9934453655155961,强
厌氧出口PH值_HRT平均值,-0.9010132366240665,-0.8752840507195697,0.9010132366240665,0.8752840507195697,强
调节池PH值_HRT平均值,-0.8654907666321675,-0.8580298667960542,0.8654907666321675,0.8580298667960542,强
厌氧出口COD_HRT平均值,0.8652862805415986,0.8325270682386301,0.8652862805415986,0.8325270682386301,强
厌氧出口PH值_实时值,-0.8539501926735533,-0.8420703823269856,0.8539501926735533,0.8420703823269856,强
厌氧出口氨氮_实时值,0.6730581024980088,0.5195666264342458,0.6730581024980088,0.5195666264342458,中等
调节池氨氮_实时值,0.6730581024980088,0.5195666264342458,0.6730581024980088,0.5195666264342458,中等
调节池PH值_实时值,-0.6164540088168806,-0.663837288728719,0.6164540088168806,0.663837288728719,中等
厌氧出口氨氮_HRT平均值,0.5488735546662269,0.45171923750930004,0.5488735546662269,0.45171923750930004,中等
调节池氨氮_HRT平均值,0.5488735546662269,0.45171923750930004,0.5488735546662269,0.45171923750930004,中等
厌氧进水泵出口1流量_平均值,0.5450252960645832,0.44837961402914744,0.5450252960645832,0.44837961402914744,中等
厂区环境温度_平均值,0.5209203914957629,0.5325310603299604,0.5209203914957629,0.5325310603299604,中等
厌氧循环泵出口至厌氧罐2流量_平均值,0.5004519182038505,0.7894608827521464,0.5004519182038505,0.7894608827521464,中等
厌氧罐2液位_平均值,0.43963475815019026,0.5365182410742426,0.43963475815019026,0.5365182410742426,中等
厌氧罐2压力_平均值,0.4128699527760128,0.5489217232747006,0.4128699527760128,0.5489217232747006,中等
调节池COD_HRT平均值,-0.2372806493033846,-0.22394926374266674,0.2372806493033846,0.22394926374266674,弱
调节池COD_实时值,0.1756095945351778,0.1935128656476588,0.1756095945351778,0.1935128656476588,很弱
厌氧进水超越流量_平均值,0.15819190894722474,0.1801166949279468,0.15819190894722474,0.1801166949279468,很弱
厌氧罐2温度_平均值,-0.15389834792018023,-0.31575653195439557,0.15389834792018023,0.31575653195439557,很弱
厌氧进水超越流量_变化率,-0.10648851971498305,-0.08664020394335907,0.10648851971498305,0.08664020394335907,很弱
厂区环境湿度_平均值,-0.08992811245639477,-0.12918871575351493,0.08992811245639477,0.12918871575351493,很弱
厌氧罐2液位_变化率,-0.05047051747193894,-0.030362548857176676,0.05047051747193894,0.030362548857176676,很弱
厌氧罐2液位_变化值,-0.05032562808206223,-0.03045746126115914,0.05032562808206223,0.03045746126115914,很弱
厌氧进水泵出口1流量_变化值,-0.045424083329979076,-0.03732319691372121,0.045424083329979076,0.03732319691372121,很弱
厌氧循环泵出口至厌氧罐2流量_变化值,-0.03970909800713965,-0.03380301395333452,0.03970909800713965,0.03380301395333452,很弱
厌氧罐2温度_变化率,-0.0342442254238723,0.1794092650396294,0.0342442254238723,0.1794092650396294,很弱
厌氧罐2温度_变化值,-0.031941217871130634,0.18527085540217633,0.031941217871130634,0.18527085540217633,很弱
厌氧罐2压力_变化率,-0.024465108780777754,-0.008625985608303972,0.024465108780777754,0.008625985608303972,很弱
厌氧进水泵出口1流量_变化率,0.015741110331188017,0.03495014368742465,0.015741110331188017,0.03495014368742465,很弱
厌氧循环泵出口至厌氧罐2流量_变化率,-0.014740466907475486,-0.028649628150858874,0.014740466907475486,0.028649628150858874,很弱
厌氧进水超越流量_变化值,0.014647647554476324,0.005113570895559933,0.014647647554476324,0.005113570895559933,很弱
厂区环境温度_变化值,0.013123753993391532,0.014138079560707036,0.013123753993391532,0.014138079560707036,很弱
厂区环境湿度_变化率,-0.009252411429990186,0.003504905471360046,0.009252411429990186,0.003504905471360046,很弱
厌氧罐2压力_变化值,-0.008961879328502093,0.00034456833636460366,0.008961879328502093,0.00034456833636460366,很弱
厂区环境温度_变化率,0.0021760022647397395,0.04733512424017544,0.0021760022647397395,0.04733512424017544,很弱
厂区环境湿度_变化值,-0.0018740544413499997,0.0021224367926727275,0.0018740544413499997,0.0021224367926727275,很弱
