特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
厌氧出口氨氮_实时值,0.999546964592218,0.9986929250449745,0.999546964592218,0.9986929250449745,强
调节池氨氮_实时值,0.999546964592218,0.9986929250449745,0.999546964592218,0.9986929250449745,强
厌氧出口COD_HRT平均值,0.8000432190607135,0.49849694018520074,0.8000432190607135,0.49849694018520074,强
调节池PH值_HRT平均值,-0.788247711511411,-0.7811545207275451,0.788247711511411,0.7811545207275451,强
厌氧出口氨氮_HRT平均值,0.7756782573938754,0.5878150263960878,0.7756782573938754,0.5878150263960878,强
调节池氨氮_HRT平均值,0.7756782573938754,0.5878150263960878,0.7756782573938754,0.5878150263960878,强
厌氧出口COD_实时值,0.6727050603480634,0.5171706914131975,0.6727050603480634,0.5171706914131975,中等
厌氧出口PH值_HRT平均值,-0.654944095493092,-0.5626254809930479,0.654944095493092,0.5626254809930479,中等
调节池PH值_实时值,-0.6295062382028961,-0.5475035255941169,0.6295062382028961,0.5475035255941169,中等
厌氧出口PH值_实时值,-0.4617198505116839,-0.38243286123213965,0.4617198505116839,0.38243286123213965,中等
厂区环境温度_平均值,0.3980706963332564,0.3646054445796422,0.3980706963332564,0.3646054445796422,弱
厌氧罐2温度_平均值,-0.36512137760936386,-0.5685568787464159,0.36512137760936386,0.5685568787464159,弱
厌氧进水泵出口1流量_平均值,0.3046430090037804,0.2712848459801156,0.3046430090037804,0.2712848459801156,弱
厂区环境湿度_平均值,0.21396778640522218,0.16156992898542813,0.21396778640522218,0.16156992898542813,弱
厌氧循环泵出口至厌氧罐2流量_平均值,0.11587297004114212,0.4013517904651176,0.11587297004114212,0.4013517904651176,很弱
调节池COD_实时值,0.10877276842411471,0.13913660040850082,0.10877276842411471,0.13913660040850082,很弱
厌氧罐2压力_平均值,0.10604943493073618,0.15795158759748004,0.10604943493073618,0.15795158759748004,很弱
厌氧进水超越流量_平均值,-0.06925551230440462,-0.010249224438961441,0.06925551230440462,0.010249224438961441,很弱
厌氧进水泵出口1流量_变化率,-0.04130111877480631,0.027378194818923854,0.04130111877480631,0.027378194818923854,很弱
厌氧罐2液位_平均值,0.03525628320953078,0.021451270973229204,0.03525628320953078,0.021451270973229204,很弱
厌氧进水超越流量_变化率,-0.030522056210599224,-0.027997881405322972,0.030522056210599224,0.027997881405322972,很弱
厌氧循环泵出口至厌氧罐2流量_变化率,0.028769466621714385,-0.03385388610654446,0.028769466621714385,0.03385388610654446,很弱
厂区环境湿度_变化率,-0.021781361754732904,-0.05295694286536604,0.021781361754732904,0.05295694286536604,很弱
调节池COD_HRT平均值,0.021156415996746416,-0.02334266940744497,0.021156415996746416,0.02334266940744497,很弱
厌氧罐2温度_变化率,-0.020373261784501197,-0.008899776462933044,0.020373261784501197,0.008899776462933044,很弱
厌氧罐2温度_变化值,-0.020144860087366684,0.014739071643890874,0.020144860087366684,0.014739071643890874,很弱
厌氧罐2压力_变化率,-0.018889227198729937,-0.019792538224961142,0.018889227198729937,0.019792538224961142,很弱
厂区环境温度_变化率,-0.017678011355269252,0.07200810435954642,0.017678011355269252,0.07200810435954642,很弱
厌氧循环泵出口至厌氧罐2流量_变化值,-0.016183272379092825,-0.040763311726474905,0.016183272379092825,0.040763311726474905,很弱
厌氧罐2液位_变化率,-0.012908676871642724,-0.029590852811900697,0.012908676871642724,0.029590852811900697,很弱
厌氧罐2液位_变化值,-0.01258252954988492,-0.029706485750577164,0.01258252954988492,0.029706485750577164,很弱
厌氧进水泵出口1流量_变化值,-0.01074031082348694,-0.0027931661656045784,0.01074031082348694,0.0027931661656045784,很弱
厂区环境温度_变化值,0.006434414439667753,0.059166644886978856,0.006434414439667753,0.059166644886978856,很弱
厌氧罐2压力_变化值,0.004921400671294821,-0.015128773084670078,0.004921400671294821,0.015128773084670078,很弱
厂区环境湿度_变化值,-0.00041569959901071164,-0.04222298890028393,0.00041569959901071164,0.04222298890028393,很弱
厌氧进水超越流量_变化值,0.00032926408677885457,-0.011455384387757695,0.00032926408677885457,0.011455384387757695,很弱
