特征1,特征2,Pearson相关系数,绝对值
调节池氨氮_HRT平均值,厌氧出口氨氮_HRT平均值,1.0,1.0
调节池氨氮_实时值,厌氧出口氨氮_实时值,1.0,1.0
厌氧罐2液位_变化值,厌氧罐2液位_变化率,0.9999879995221301,0.9999879995221301
厌氧罐2温度_变化值,厌氧罐2温度_变化率,0.9996202115177565,0.9996202115177565
厌氧罐2温度_变化值,厌氧罐2液位_变化值,0.9907885160628744,0.9907885160628744
厌氧罐2温度_变化值,厌氧罐2液位_变化率,0.9907696442247347,0.9907696442247347
厌氧罐2温度_变化率,厌氧罐2液位_变化值,0.9900096544018395,0.9900096544018395
厌氧罐2温度_变化率,厌氧罐2液位_变化率,0.9899871683009946,0.9899871683009946
厂区环境温度_变化值,厂区环境温度_变化率,0.9442224190534123,0.9442224190534123
厂区环境湿度_变化值,厂区环境湿度_变化率,0.9396595103267111,0.9396595103267111
调节池PH值_HRT平均值,厌氧出口PH值_HRT平均值,0.9260462104433992,0.9260462104433992
厂区环境温度_变化值,厂区环境湿度_变化率,-0.922832564654739,0.922832564654739
厌氧出口PH值_HRT平均值,厌氧出口COD_HRT平均值,-0.9153139263997705,0.9153139263997705
厌氧罐2压力_变化值,厌氧罐2压力_变化率,0.909609351588329,0.909609351588329
厌氧出口PH值_HRT平均值,厌氧出口COD_实时值,-0.9029412047984918,0.9029412047984918
厌氧循环泵出口至厌氧罐2流量_平均值,厌氧罐2液位_平均值,0.89469197304431,0.89469197304431
厌氧出口COD_实时值,厌氧出口COD_HRT平均值,0.8676162341979026,0.8676162341979026
调节池PH值_HRT平均值,厌氧出口COD_实时值,-0.8647705073892021,0.8647705073892021
厂区环境温度_变化值,厂区环境湿度_变化值,-0.8629944147674484,0.8629944147674484
厂区环境温度_变化率,厂区环境湿度_变化值,-0.8627397181230859,0.8627397181230859
