特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
调节池氨氮_实时值,0.999546964592218,0.9986929250449745,0.999546964592218,0.9986929250449745,强
调节池PH值_HRT平均值,-0.788247711511411,-0.7811545207275451,0.788247711511411,0.7811545207275451,强
调节池氨氮_HRT平均值,0.7756782573938754,0.5878150263960878,0.7756782573938754,0.5878150263960878,强
调节池PH值_实时值,-0.6295062382028961,-0.5475035255941169,0.6295062382028961,0.5475035255941169,中等
厂区环境温度_平均值,0.3980706963332564,0.3646054445796422,0.3980706963332564,0.3646054445796422,弱
厌氧进水泵出口1流量_平均值,0.3046430090037804,0.2712848459801156,0.3046430090037804,0.2712848459801156,弱
厂区环境湿度_平均值,0.21396778640522218,0.16156992898542813,0.21396778640522218,0.16156992898542813,弱
调节池COD_实时值,0.10877276842411471,0.13913660040850082,0.10877276842411471,0.13913660040850082,很弱
自垃圾池渗滤液进水流量_平均值,0.058436258164819406,0.10741702648594886,0.058436258164819406,0.10741702648594886,很弱
厌氧进水泵出口1流量_变化率,-0.04130111877480631,0.027378194818923854,0.04130111877480631,0.027378194818923854,很弱
自垃圾池渗滤液进水流量_变化率,-0.028988283375976986,-0.05136028286820297,0.028988283375976986,0.05136028286820297,很弱
厂区环境湿度_变化率,-0.021781361754732904,-0.05295694286536604,0.021781361754732904,0.05295694286536604,很弱
调节池COD_HRT平均值,0.021156415996746416,-0.02334266940744497,0.021156415996746416,0.02334266940744497,很弱
自垃圾池渗滤液进水流量_变化值,0.018966419088359908,0.008805707775850302,0.018966419088359908,0.008805707775850302,很弱
厂区环境温度_变化率,-0.017678011355269252,0.07200810435954642,0.017678011355269252,0.07200810435954642,很弱
厌氧进水泵出口1流量_变化值,-0.01074031082348694,-0.0027931661656045784,0.01074031082348694,0.0027931661656045784,很弱
厂区环境温度_变化值,0.006434414439667753,0.059166644886978856,0.006434414439667753,0.059166644886978856,很弱
厂区环境湿度_变化值,-0.00041569959901071164,-0.04222298890028393,0.00041569959901071164,0.04222298890028393,很弱
