特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
一级硝化池1#温度_平均值,0.7885321872461535,0.7328610282571246,0.7885321872461535,0.7328610282571246,强
厌氧出口PH值_HRT平均值,-0.7463852631427329,-0.8161976953762041,0.7463852631427329,0.8161976953762041,强
一级生化出口MLSS_实时值,0.7346774194033764,0.7935070463159952,0.7346774194033764,0.7935070463159952,强
厌氧出口COD_HRT平均值,0.6967237577429213,0.736168551012263,0.6967237577429213,0.736168551012263,中等
厌氧出口COD_实时值,0.6854794607002149,0.7758309133308786,0.6854794607002149,0.7758309133308786,中等
厌氧出口PH值_实时值,-0.6315186750035201,-0.7469946553440334,0.6315186750035201,0.7469946553440334,中等
调节池PH值_HRT平均值,-0.6203858248351213,-0.7912089875744281,0.6203858248351213,0.7912089875744281,中等
一级生化出口总氮_实时值,-0.59849258143958,-0.7616229128947484,0.59849258143958,0.7616229128947484,中等
厌氧进水泵出口1流量_平均值,0.5905321765299898,0.5260827460582551,0.5905321765299898,0.5260827460582551,中等
调节池PH值_实时值,-0.5600003702614866,-0.7719442908611648,0.5600003702614866,0.7719442908611648,中等
一级生化出口COD_实时值,0.5223545900036483,0.6512821751993232,0.5223545900036483,0.6512821751993232,中等
硝化液回流流量_平均值,0.4565558348075932,0.2467890430005878,0.4565558348075932,0.2467890430005878,中等
厌氧出口氨氮_实时值,0.4264824722963067,0.4688269741154158,0.4264824722963067,0.4688269741154158,中等
调节池氨氮_实时值,0.4264824722963067,0.4688269741154158,0.4264824722963067,0.4688269741154158,中等
厂区环境温度_平均值,0.42449467163800225,0.4145781935261096,0.42449467163800225,0.4145781935261096,中等
一级生化出口氨氮_实时值,0.3553665583413953,0.6322593683370246,0.3553665583413953,0.6322593683370246,弱
调节池COD_HRT平均值,-0.35274537207485385,-0.33434082035330315,0.35274537207485385,0.33434082035330315,弱
厌氧出口氨氮_HRT平均值,0.2053004671832215,0.10238070737674175,0.2053004671832215,0.10238070737674175,弱
调节池氨氮_HRT平均值,0.2053004671832215,0.10238070737674175,0.2053004671832215,0.10238070737674175,弱
一级硝化池1#溶解氧DO_平均值,0.0894687260186565,0.04013910326961202,0.0894687260186565,0.04013910326961202,很弱
调节池COD_实时值,-0.07388397503391779,0.07544846238306065,0.07388397503391779,0.07544846238306065,很弱
一级生化出口PH值_实时值,0.07105598867860498,0.16732810800953835,0.07105598867860498,0.16732810800953835,很弱
厂区环境湿度_平均值,-0.04937236026591283,-0.0599240480735414,0.04937236026591283,0.0599240480735414,很弱
厌氧进水泵出口1流量_变化值,,,,,常量/不可计算
厌氧进水泵出口1流量_变化率,,,,,常量/不可计算
一级硝化池1#温度_变化值,,,,,常量/不可计算
一级硝化池1#温度_变化率,,,,,常量/不可计算
一级硝化池1#溶解氧DO_变化值,,,,,常量/不可计算
一级硝化池1#溶解氧DO_变化率,,,,,常量/不可计算
硝化液回流流量_变化值,,,,,常量/不可计算
硝化液回流流量_变化率,,,,,常量/不可计算
厂区环境温度_变化值,,,,,常量/不可计算
厂区环境温度_变化率,,,,,常量/不可计算
厂区环境湿度_变化值,,,,,常量/不可计算
厂区环境湿度_变化率,,,,,常量/不可计算
一级生化出口SV30_实时值,,,,,常量/不可计算
