特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
厂区环境湿度_平均值,-0.10701464325070972,-0.21467166878909658,0.10701464325070972,0.21467166878909658,很弱
一级生化出口COD_实时值,0.09923758440702098,0.03567021446631499,0.09923758440702098,0.03567021446631499,很弱
厌氧出口PH值_实时值,-0.08902641186092718,-0.1316697724183361,0.08902641186092718,0.1316697724183361,很弱
厌氧出口COD_实时值,0.07669493901094163,0.10756974386986033,0.07669493901094163,0.10756974386986033,很弱
一级生化出口总氮_实时值,-0.07661111000595815,-0.028683479126375006,0.07661111000595815,0.028683479126375006,很弱
一级生化出口氨氮_实时值,0.06461166175567931,0.09736799604866583,0.06461166175567931,0.09736799604866583,很弱
厂区环境温度_平均值,0.06367424456730371,0.24705844796011733,0.06367424456730371,0.24705844796011733,很弱
厌氧进水泵出口1流量_平均值,0.061548957107568095,0.15536879015474395,0.061548957107568095,0.15536879015474395,很弱
厌氧出口PH值_HRT平均值,-0.05930059380832404,-0.10294247530730367,0.05930059380832404,0.10294247530730367,很弱
一级硝化池1#温度_平均值,0.055325236378739324,0.12807509515578927,0.055325236378739324,0.12807509515578927,很弱
调节池COD_实时值,0.052282811141581044,-0.02007711051503983,0.052282811141581044,0.02007711051503983,很弱
硝化液回流流量_平均值,0.043935706302028484,0.05395657689519965,0.043935706302028484,0.05395657689519965,很弱
调节池PH值_HRT平均值,-0.04257369543013601,-0.10567443392861317,0.04257369543013601,0.10567443392861317,很弱
一级生化出口MLSS_实时值,0.040162264235907304,0.05684628436914852,0.040162264235907304,0.05684628436914852,很弱
调节池COD_HRT平均值,-0.03983364828672723,-0.16630881836545783,0.03983364828672723,0.16630881836545783,很弱
厌氧出口氨氮_实时值,-0.03574246849700618,0.03520527072893489,0.03574246849700618,0.03520527072893489,很弱
调节池氨氮_实时值,-0.03574246849700618,0.03520527072893489,0.03574246849700618,0.03520527072893489,很弱
一级生化出口PH值_实时值,0.03494943354724272,-0.05766272050927406,0.03494943354724272,0.05766272050927406,很弱
调节池PH值_实时值,-0.02784494602062767,-0.09414583029525739,0.02784494602062767,0.09414583029525739,很弱
厌氧出口COD_HRT平均值,0.027117142538669904,0.0685433422489553,0.027117142538669904,0.0685433422489553,很弱
调节池氨氮_HRT平均值,-0.024133868818941705,-0.018253681254457175,0.024133868818941705,0.018253681254457175,很弱
厌氧出口氨氮_HRT平均值,-0.024133868818941705,-0.018253681254457175,0.024133868818941705,0.018253681254457175,很弱
一级硝化池1#溶解氧DO_平均值,0.0022938275490312567,0.002769435827388499,0.0022938275490312567,0.002769435827388499,很弱
厌氧进水泵出口1流量_变化值,,,,,常量/不可计算
厌氧进水泵出口1流量_变化率,,,,,常量/不可计算
一级硝化池1#温度_变化值,,,,,常量/不可计算
一级硝化池1#温度_变化率,,,,,常量/不可计算
一级硝化池1#溶解氧DO_变化值,,,,,常量/不可计算
一级硝化池1#溶解氧DO_变化率,,,,,常量/不可计算
硝化液回流流量_变化值,,,,,常量/不可计算
硝化液回流流量_变化率,,,,,常量/不可计算
厂区环境温度_变化值,,,,,常量/不可计算
厂区环境温度_变化率,,,,,常量/不可计算
厂区环境湿度_变化值,,,,,常量/不可计算
厂区环境湿度_变化率,,,,,常量/不可计算
一级生化出口SV30_实时值,,,,,常量/不可计算
