特征1,特征2,Pearson相关系数,绝对值
调节池氨氮_实时值,厌氧出口氨氮_实时值,1.0,1.0
调节池氨氮_HRT平均值,厌氧出口氨氮_HRT平均值,1.0,1.0
调节池PH值_HRT平均值,厌氧出口PH值_HRT平均值,0.9257316956078561,0.9257316956078561
厌氧出口PH值_HRT平均值,厌氧出口COD_HRT平均值,-0.9143852356081168,0.9143852356081168
厌氧出口PH值_HRT平均值,厌氧出口COD_实时值,-0.9038868318070271,0.9038868318070271
厌氧出口COD_实时值,厌氧出口COD_HRT平均值,0.8687161688548195,0.8687161688548195
调节池PH值_HRT平均值,厌氧出口COD_实时值,-0.8648188222896217,0.8648188222896217
调节池PH值_HRT平均值,厌氧出口COD_HRT平均值,-0.8563739873986991,0.8563739873986991
厌氧出口PH值_实时值,厌氧出口COD_实时值,-0.8558853481577628,0.8558853481577628
一级生化出口COD_实时值,一级生化出口总氮_实时值,-0.8275598933303506,0.8275598933303506
厌氧出口PH值_HRT平均值,一级生化出口总氮_实时值,0.812505728880763,0.812505728880763
调节池PH值_HRT平均值,厌氧出口PH值_实时值,0.8086834147650909,0.8086834147650909
厌氧出口PH值_实时值,厌氧出口PH值_HRT平均值,0.804482057549847,0.804482057549847
调节池氨氮_实时值,厌氧出口COD_HRT平均值,0.7983811597638741,0.7983811597638741
厌氧出口COD_HRT平均值,厌氧出口氨氮_实时值,0.7983811597638741,0.7983811597638741
调节池PH值_实时值,调节池PH值_HRT平均值,0.7967571724959488,0.7967571724959488
厌氧出口PH值_HRT平均值,一级生化出口MLSS_实时值,-0.7921412603877853,0.7921412603877853
调节池PH值_HRT平均值,厌氧出口氨氮_实时值,-0.7874978231277061,0.7874978231277061
调节池PH值_HRT平均值,调节池氨氮_实时值,-0.7874978231277061,0.7874978231277061
一级硝化池1#温度_平均值,一级生化出口MLSS_实时值,0.7826283682928891,0.7826283682928891
