特征,Pearson相关系数,Spearman相关系数,Pearson绝对值,Spearman绝对值,Pearson强度
厌氧罐2液位_平均值,0.8067224031800108,0.6641253493779059,0.8067224031800108,0.6641253493779059,强
厌氧进水泵出口1流量_平均值,0.5900192110869519,0.36936625282895696,0.5900192110869519,0.36936625282895696,中等
厌氧罐2温度_平均值,0.570135603827281,-0.2120648634661171,0.570135603827281,0.2120648634661171,中等
厌氧出口COD_实时值,0.4948706863017835,0.7969898368641388,0.4948706863017835,0.7969898368641388,中等
调节池COD_实时值,-0.4686024574304958,0.053622279720100474,0.4686024574304958,0.053622279720100474,中等
厂区环境温度_平均值,0.46781939215009943,0.41692135087663756,0.46781939215009943,0.41692135087663756,中等
调节池COD_HRT平均值,-0.4642533987374425,-0.1295376745593337,0.4642533987374425,0.1295376745593337,中等
厌氧出口PH值_实时值,-0.45439092259492275,-0.6539437684941721,0.45439092259492275,0.6539437684941721,中等
调节池PH值_实时值,-0.36618126786968064,-0.7100930037924598,0.36618126786968064,0.7100930037924598,弱
厌氧罐2压力_平均值,0.3443454737517887,0.6031083163574403,0.3443454737517887,0.6031083163574403,弱
调节池PH值_HRT平均值,-0.29703563061437854,-0.728016562880848,0.29703563061437854,0.728016562880848,弱
调节池氨氮_实时值,0.11459013758740001,0.3971901132814191,0.11459013758740001,0.3971901132814191,很弱
厌氧出口氨氮_实时值,0.11459013758740001,0.3971901132814191,0.11459013758740001,0.3971901132814191,很弱
厌氧进水超越流量_平均值,0.04701826698183848,0.05458883778407646,0.04701826698183848,0.05458883778407646,很弱
厂区环境湿度_平均值,-0.045371679870337245,-0.08199542684481871,0.045371679870337245,0.08199542684481871,很弱
调节池氨氮_HRT平均值,0.008053613135540752,0.24093271719214895,0.008053613135540752,0.24093271719214895,很弱
厌氧进水泵出口1流量_变化值,,,,,常量/不可计算
厌氧进水泵出口1流量_变化率,,,,,常量/不可计算
厌氧罐2温度_变化值,,,,,常量/不可计算
厌氧罐2温度_变化率,,,,,常量/不可计算
厌氧罐2压力_变化值,,,,,常量/不可计算
厌氧罐2压力_变化率,,,,,常量/不可计算
厌氧进水超越流量_变化值,,,,,常量/不可计算
厌氧进水超越流量_变化率,,,,,常量/不可计算
厌氧罐2液位_变化值,,,,,常量/不可计算
厌氧罐2液位_变化率,,,,,常量/不可计算
厂区环境温度_变化值,,,,,常量/不可计算
厂区环境温度_变化率,,,,,常量/不可计算
厂区环境湿度_变化值,,,,,常量/不可计算
厂区环境湿度_变化率,,,,,常量/不可计算
