特征1,特征2,Pearson相关系数,绝对值
调节池氨氮_实时值,厌氧出口氨氮_实时值,1.0,1.0
调节池PH值_HRT平均值,厌氧出口COD_实时值,-0.8648188222896217,0.8648188222896217
厌氧出口PH值_实时值,厌氧出口COD_实时值,-0.8558853481577628,0.8558853481577628
调节池PH值_HRT平均值,厌氧出口PH值_实时值,0.8086834147650909,0.8086834147650909
调节池PH值_实时值,调节池PH值_HRT平均值,0.7967571724959488,0.7967571724959488
调节池PH值_HRT平均值,调节池氨氮_实时值,-0.7874978231277061,0.7874978231277061
调节池PH值_HRT平均值,厌氧出口氨氮_实时值,-0.7874978231277061,0.7874978231277061
调节池氨氮_HRT平均值,厌氧出口氨氮_实时值,0.7805783094277539,0.7805783094277539
调节池氨氮_实时值,调节池氨氮_HRT平均值,0.7805783094277539,0.7805783094277539
厌氧进水泵出口1流量_平均值,调节池COD_HRT平均值,-0.7295998538069216,0.7295998538069216
厌氧罐2温度_平均值,调节池COD_实时值,-0.6949037175424927,0.6949037175424927
调节池氨氮_实时值,厌氧出口COD_实时值,0.6727593981976049,0.6727593981976049
厌氧出口COD_实时值,厌氧出口氨氮_实时值,0.6727593981976048,0.6727593981976048
厌氧进水泵出口1流量_平均值,厌氧出口PH值_实时值,-0.6652196319325078,0.6652196319325078
厌氧进水泵出口1流量_平均值,调节池PH值_实时值,-0.6409253982709908,0.6409253982709908
调节池PH值_实时值,调节池氨氮_实时值,-0.6282953733576422,0.6282953733576422
调节池PH值_实时值,厌氧出口氨氮_实时值,-0.6282953733576422,0.6282953733576422
调节池PH值_实时值,厌氧出口COD_实时值,-0.6155586891112665,0.6155586891112665
调节池PH值_实时值,厌氧出口PH值_实时值,0.6118239908816253,0.6118239908816253
厌氧进水泵出口1流量_平均值,调节池PH值_HRT平均值,-0.6035384232361025,0.6035384232361025
